"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         318,      -9.619536837,      -10.21978966,      -10.07243979,      -9.065614931
          0,           0,         319,      -9.632432527,      -10.22506788,      -10.08762969,      -9.078224505
          0,           0,         320,      -9.645848396,      -10.22947528,       -10.1049766,      -9.091433535
          0,           0,         321,      -9.659866151,      -10.23344731,      -10.12445015,      -9.105322445
          0,           0,         322,      -9.674549306,      -10.23739356,      -10.14598243,      -9.119950327
          0,           0,         323,      -9.689935306,       -10.2416922,      -10.16943077,       -9.13535081
          0,           0,         324,       -9.70605585,      -10.24668584,      -10.19462814,      -9.151550319
          0,           0,         325,      -9.722931424,      -10.25265688,      -10.22136655,      -9.168559724
          0,           0,         326,       -9.74055921,      -10.25983446,      -10.24936402,      -9.186365462
          0,           0,         327,      -9.758918023,      -10.26839709,      -10.27823518,      -9.204936601
