"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,         254,      -5.064394819,      -2.210729413,      -2.124175203,      -2.113071702,      0.4152989389
          0,           0,         255,       -5.08108423,      -2.233721703,      -2.134691028,      -2.123059973,      0.3974387829
          0,           0,         256,      -5.096321196,      -2.257596602,      -2.145375433,      -2.133453951,      0.3810102448
          0,           0,         257,      -5.109663301,      -2.281697332,      -2.156039312,       -2.14410304,      0.3665417843
          0,           0,         258,      -5.120774909,      -2.305176638,       -2.16647698,      -2.154821491,      0.3544576839
          0,           0,         259,      -5.129458875,      -2.327025242,      -2.176480619,      -2.165399834,      0.3450313103
          0,           0,         260,       -5.13568677,      -2.346157165,       -2.18585838,      -2.175626417,       0.338342158
          0,           0,         261,      -5.139613624,      -2.361562471,      -2.194453655,      -2.185307248,      0.3342531283
          0,           0,         262,      -5.141565425,      -2.372502985,      -2.202158046,      -2.194283556,      0.3324223742
          0,           0,         263,      -5.141996258,       -2.37867986,      -2.208921185,      -2.202443627,      0.3323527113
          0,           0,         264,      -5.141424126,      -2.380305829,      -2.214759251,      -2.209735145,       0.333466584
          0,           0,         265,       -5.14036931,      -2.378047539,      -2.219753307,      -2.216169423,      0.3351800928
          0,           0,         266,      -5.139307893,      -2.372862224,      -2.224040657,      -2.221817369,      0.3369586867
          0,           0,         267,      -5.138649398,      -2.365804824,      -2.227797969,      -2.226798786,      0.3383441079
          0,           0,         268,      -5.138731416,      -2.357877045,      -2.231227473,      -2.231268378,      0.3389612138
          0,           0,         269,      -5.139826452,      -2.349944947,      -2.234536614,      -2.235400757,      0.3385104185
          0,           0,         270,       -5.14215416,      -2.342707408,      -2.237927213,      -2.239377835,      0.3367542091
          0,           0,         271,      -5.145886657,      -2.336704967,      -2.241585884,      -2.243377395,      0.3335092011
          0,           0,         272,      -5.151156199,      -2.332339978,      -2.245677522,       -2.24756504,      0.3286361758
          0,           0,         273,      -5.158061252,      -2.329907331,      -2.250341473,      -2.252088135,      0.3220325385
