Point ID,Density,Energy,Grid_Velocity_0,Grid_Velocity_1,Grid_Velocity_2,Grid_Velocity_Magnitude,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
10,1.12326,226776,0,299.276,-1.10907e-08,299.276,0.185328,34.2443,14.0448,-58.71,69.4031,-4.8068e-05,0,-1.14315,1.14315,89841.9,-0.210497,278.622,30.4951,12.4862,-52.2975,61.8133
11,1.01899,210384,0,299.265,8.63553e-10,299.265,0.229736,32.116,56.5802,-18.2508,67.5711,-0.004868,0,-1.14311,1.14312,82928.5,-0.337226,283.745,31.4988,57.3093,-16.3748,67.4141
12,0.982063,204630,0,299.262,-2.11099e-09,299.262,0.231897,26.874,71.9626,-0.232605,76.8172,-0.00636494,0,-1.1431,1.14311,80626.4,-0.379427,286.003,27.3891,73.2915,-0.239021,78.2424
13,1.08089,219416,0,299.235,-2.56557e-09,299.235,0.175093,18.0729,42.5399,31.895,56.1566,-0.0181665,0,-1.14299,1.14314,86986,-0.262848,280.271,16.8331,38.9167,29.8598,51.8601
14,1.07002,214976,0,299.231,4.01609e-09,299.231,0.157883,21.5851,27.8329,44.0399,56.3924,-0.0198573,0,-1.14298,1.14315,85392.8,-0.292054,278.007,20.1779,25.9884,41.1533,52.6891
15,0.987729,206934,0,299.26,5.58983e-09,299.26,0.258515,34.8218,79.5127,-0.291054,86.8039,-0.00720324,0,-1.14309,1.14311,81203.1,-0.368855,286.387,35.0986,80.3086,-0.306301,87.6441
16,1.15309,234131,0,208.451,3.01856e-08,208.451,0.111434,40.4985,-14.5243,-4.32144,43.2407,0.00297951,0,-0.796226,0.796231,93326.4,-0.146623,281.95,35.1278,-12.5973,-3.74752,37.5059
17,1.15031,232989,0,213.794,-3.74055e-09,213.794,0.112484,41.1851,-13.278,-4.3161,43.4873,0.00280141,0,-0.816633,0.816638,92865.1,-0.155078,281.233,35.8089,-11.544,-3.75181,37.8103
18,1.14805,232069,0,219.137,-3.74055e-09,219.137,0.115193,42.0835,-13.3074,-4.812,44.3989,0.00262332,0,-0.837041,0.837045,92482.6,-0.162091,280.626,36.6614,-11.5921,-4.19121,38.6781
19,1.1385,231099,0,224.479,2.9434e-08,224.479,0.116919,42.6531,-12.8846,-4.45177,44.7786,0.00244523,0,-0.857448,0.857451,92085.6,-0.169367,281.767,37.4676,-11.3175,-3.90985,39.3344
20,1.12499,229084,0,229.822,-4.49208e-09,229.822,0.119827,43.2328,-13.5191,-3.25277,45.4139,0.00226714,0,-0.877855,0.877858,91265.2,-0.184407,282.609,38.4361,-12.0174,-2.89103,40.3746
21,1.1349,229348,0,235.165,-5.68957e-09,235.165,0.120853,44.3308,-12.0577,-2.74288,46.0232,0.00208904,0,-0.898263,0.898265,91364.2,-0.182591,280.446,39.0637,-10.6243,-2.4165,40.5548
22,1.13093,226413,0,240.507,2.7485e-08,240.507,0.124728,45.2357,-12.6491,-3.70312,47.1166,0.00191095,0,-0.91867,0.918672,90170.8,-0.204468,277.753,39.9984,-11.1847,-3.2744,41.6616
