Point ID,Density,Energy,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
140,0.757773,2.31299,1.13885,0.966216,0.0175656,0,0.966376,0.35604,0.0524068,0,0.359876,0.678716,-0.717152,0.895672,1.27507,0.0231805,0,1.27528
141,0.75767,2.31273,1.13906,0.966296,0.0131375,0,0.966385,0.37123,0.0526489,0,0.374945,0.678572,-0.717474,0.895604,1.27535,0.0173393,0,1.27547
142,0.757696,2.31281,1.13909,0.966396,0.00853221,0,0.966434,0.38654,0.0528215,0,0.390132,0.67859,-0.717432,0.895597,1.27544,0.0112607,0,1.27549
143,0.75802,2.3137,1.13868,0.966568,0.00374212,0,0.966576,0.40197,0.0529203,0,0.405439,0.678979,-0.716566,0.895727,1.27512,0.0049367,0,1.27513
144,0.758753,2.31566,1.13755,0.966744,-0.00124149,0,0.966745,0.4175,0.0529413,0,0.420843,0.679915,-0.714476,0.896095,1.27412,-0.00163622,0,1.27412
145,0.759542,2.31776,1.1363,0.966884,-0.00641996,0,0.966906,0.43311,0.0528804,0,0.436326,0.680929,-0.712213,0.896499,1.27298,-0.00845241,0,1.27301
146,0.758717,2.31557,1.13762,0.966674,-0.0117906,0,0.966746,0.44878,0.0527336,0,0.451868,0.679865,-0.714586,0.896072,1.27409,-0.0155401,0,1.27418
147,0.755422,2.30696,1.14351,0.966347,-0.0173446,0,0.966502,0.46451,0.0524974,0,0.467467,0.67547,-0.724398,0.894162,1.27921,-0.0229602,0,1.27942
148,0.755286,2.30676,1.14442,0.966663,-0.0230946,0,0.966939,0.48027,0.0521684,0,0.483095,0.675125,-0.725166,0.893867,1.27986,-0.0305773,0,1.28023
149,0.7729,2.35364,1.11675,0.969951,-0.0291097,0,0.970388,0.49605,0.0517438,0,0.498741,0.697789,-0.674577,0.902819,1.25495,-0.0376629,0,1.25551
